"url","price","stars"
"/dp/B08YGNG664/?coliid=I36YNLZ8AY38FR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B0776LYDWS/?coliid=I2NFV3HNNB0NP2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$736.26
","4.5"
"/dp/B01MFGICQT/?coliid=I28AM56N9TLW62&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,534.24
","4.7"
"/dp/B0774Y814B/?coliid=I1QJC7Z5HROSZ5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,004.33
","4.7"
"/dp/B081VD6ZF5/?coliid=I3BWK12ZA1SN4R&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$740.36
","4.6"
"/dp/B07Q95RZHT/?coliid=I2SZU4CQYSVGDN&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,787.32
","4.0"
"/dp/B07Q838LJ8/?coliid=I13CT18FZ4AAED&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,725.00
","4.0"
"/dp/B07Q837B7H/?coliid=I2Q102ZMX5WPDY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,384.62
","4.0"
"/dp/B08KWP8R1J/?coliid=I39R0JWUTPEGNT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,374.70
","4.9"
"/dp/B08C778RQ8/?coliid=IOG3K38FLWHN4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,983.85
","4.6"
"/dp/B08CFTHRWJ/?coliid=I2Z87QP3NKUWWR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,799.00
","4.1"
"/dp/B08HHBNKCV/?coliid=I11YHI58JY2TX2&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","",""
"/dp/B07NPWPB23/?coliid=I3BG6FRDGBB4HK&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,584.77
","4.7"
"/dp/B01ALML154/?coliid=I8W89GOUTB4J2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,481.99
","3.8"
"/dp/B08NWFK92G/?coliid=I2UJDM6QQEHW4L&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,105.51
","5.0"
"/dp/B08L9T7WB7/?coliid=IQK0DDK2BOKWG&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,552.41
","4.9"
"/dp/B093R23ZVJ/?coliid=I29FPBQLUL1DRR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,822.15
","5.0"
"/dp/B08V8FW7KF/?coliid=I13C87BE96VP0K&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,346.22
",""
"/dp/B092W9R252/?coliid=I3G9GSM0QPKDY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$5,089.85
",""
"/dp/B07S3KGQKW/?coliid=I3L2F0T37F0DLC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,613.49
","4.6"
"/dp/B08H71TWDY/?coliid=I2JYOJYHO4ZO68&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B08H71MRV7/?coliid=I1EB2HSMEPQ449&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B096TKNZ4P/?coliid=IWYSJCRQMPWA0&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","",""
"/dp/B096TLCBDV/?coliid=I12G6SC2EN9SJE&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","",""
"/dp/B08NP4Z4DL/?coliid=I2M38CAK5UD9TC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$299.00
","4.4"
"/dp/B074RDPJLL/?coliid=I16WHQ2VLCGGV5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$149.00
","4.5"
"/dp/B08K8HL9PS/?coliid=I2AX1D63IND2EV&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$198.00
","4.7"
"/dp/B0956PFTDK/?coliid=I2OPGNJJH8NNBE&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B0956MH6PV/?coliid=I3AFYEBJFA2QQH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B071CV8CG2/?coliid=I1W5L8UWYRHCW1&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/B092QSCP4W/?coliid=I2GJRWA0RQQXAO&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","5.0"
"/dp/B08KH8Z7G2/?coliid=I1NB69MXTUW5L6&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B08H6SBB2R/?coliid=I3BELIADWNCPD8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.9"
"/dp/B091MH3VCM/?coliid=I2ZIF43I14R2C9&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","5.0"
"/dp/B0868WV2Q8/?coliid=I1E6RFQ20UNOJB&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$449.00
","4.4"
"/dp/B07G176F76/?coliid=I2KFKDITUUKOL4&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.5"
"/dp/B082M4L5K6/?coliid=IGS4DGOLY7NDW&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,829.00
","4.9"
"/dp/B072VMTVFK/?coliid=I1XKTP2PYATRBG&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,019.15
","4.5"
"/dp/B07HFKKVLX/?coliid=I3F6339G9JPXMV&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,199.00
","4.5"
