"url","stars","comments","price","reviews"
"/dp/B074RDPJLL/?coliid=I16WHQ2VLCGGV5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","18","
$149.00
","70"
"/dp/B08K8HL9PS/?coliid=I2AX1D63IND2EV&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","133","
$198.00
","445"
"/dp/B0956PFTDK/?coliid=I2OPGNJJH8NNBE&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","276","","1,675"
"/dp/B0956MH6PV/?coliid=I3AFYEBJFA2QQH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","276","","1,675"
"/dp/B071CV8CG2/?coliid=I1W5L8UWYRHCW1&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","2,649","","12,340"
"/dp/B092QSCP4W/?coliid=I2GJRWA0RQQXAO&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","51","","83"
"/dp/B08KH8Z7G2/?coliid=I1NB69MXTUW5L6&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","177","","757"
"/dp/B08H6SBB2R/?coliid=I3BELIADWNCPD8&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","844","","3,282"
"/dp/B091MH3VCM/?coliid=I2ZIF43I14R2C9&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","5.0","1","","1"
"/dp/B0868WV2Q8/?coliid=I1E6RFQ20UNOJB&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","9","
$449.00
","48"
"/dp/B07G176F76/?coliid=I2KFKDITUUKOL4&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.5","690","","2,592"
"/dp/B082M4L5K6/?coliid=IGS4DGOLY7NDW&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","10","
$3,549.00","12"
"/dp/B072VMTVFK/?coliid=I1XKTP2PYATRBG&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","17","
$1,199.00","107"
"/dp/B07HFKKVLX/?coliid=I3F6339G9JPXMV&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","28","
$1,199.00","70"
"/dp/B06Y2WCHDV/?coliid=I3I4SVUWPEDKL8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","3,866","
$2,900.00","10,542"
"/dp/B07NFQKMJX/?coliid=I3LHN27HMZ8EKH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","129","
$1,280.01","428"
"/dp/B001R4LK1Q/?coliid=I2JVIJHX5I4P20&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","3,929","
$1,133.25","7,989"
"/dp/B07MV3DBQC/?coliid=I3OE1TK4KEOXP2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","200","
$399.99
","612"
"/dp/B01JLY1HSE/?coliid=I1NMSIFMZ33KS9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","2,518","
$578.12
","13,894"
"/dp/B08Q1LHYLM/?coliid=I1N6VMU2TM5OOK&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","4","
$1,899.00","14"
"/dp/B007K9OIMU/?coliid=I1CFJDJ71RUX99&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","409","
$4,656.02","813"
"/dp/B06XP4DKGL/?coliid=I1FX085HK7ABGC&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.8","701","","2,038"
"/dp/B08V9FHQWN/?coliid=I1VV0GSYQJRLOI&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","46","
$465.00
","146"
"/dp/B013XFJKGI/?coliid=IVBHXPYO6G6CE&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","2,211","
$4,060.00","4,558"
"/dp/B073QVQNKN/?coliid=I2M89LZMO3CU6R&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","179","
$1,779.00","646"
"/dp/B08D325KW2/?coliid=I1AFNQXG0RJSHN&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","3.6","18","
$279.65
","39"
"/dp/B08J8C7D8C/?coliid=I3316TNJ759WWL&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.3","70","
$5,509.80","253"
