"url","stars","comments","price","reviews"
"/dp/B07XJ8C8F5/?coliid=I95S3XVOEMZ1L&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","2,997","
$1,299.00","20,399"
"/dp/B089DSCF16/?coliid=I1UNKFZK7MSVGD&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","3,973","
$550.00
","19,858"
"/dp/B0865JJLHD/?coliid=I25D5XT2YC9UYY&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.3","205","
$599.00
","1,117"
"/dp/B072TZGL7C/?coliid=I3GFHWGLYYEYEG&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","1,687","
$185.00
","5,857"
"/dp/B07PV6DW28/?coliid=I1086T8Z4LJ0D6&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","1,687","
$249.00
","5,857"
"/dp/0984782850/?coliid=I2ACJ842DBPGOC&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","1,303","","5,117"
"/dp/B08MW8967W/?coliid=I2D4LZ30B2EY5W&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.3","64","
$399.00
","197"
"/dp/B08BBFT2RP/?coliid=I1VPEKYW4BLE7A&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.0","2","","8"
"/dp/B07G5TP4BN/?coliid=I3NFHD5FHH224I&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.6","1,374","
$1,752.13","8,754"
"/dp/B0151K2AB0/?coliid=I1H99SL4KPH1E2&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.8","2,235","
$1,199.00","5,331"
"/dp/B0145WDNF2/?coliid=I3KAG3OEEQUTQJ&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","848","
$1,721.14","2,617"
"/dp/B01N7K4CEU/?coliid=I3TRAZ3JJ6CPBA&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.8","242","","825"
"/dp/B07SFT1Y1B/?coliid=I3BN7I9YWSPF1D&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","350","
$399.00
","1,919"
"/dp/B07NC8XFWF/?coliid=IJTLXEGV5Z5AT&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.8","151","","1,176"
"/dp/B07YYMVM37/?coliid=IEOMEKQ6DIQXI&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.4","32","
$333.25
","187"
"/dp/B07SJJB7TL/?coliid=I1HVNG1IQFA9F9&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.1","1","
$217.00
","9"
"/dp/B088X3HYGM/?coliid=I1P9WLQ3BISDG4&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.7","27","
$799.00
","66"
"/dp/B00IZCHYH2/?coliid=I7Q3Z74LWWIOI&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.4","50","
$385.88
","115"
"/dp/B0832HPJCK/?coliid=I3IBRHPPJ06WRZ&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.3","2","","10"
"/dp/B00C5K8E1A/?coliid=IIEMC9Q4UYZBI&colid=1SC1VTTG1NF8Y&psc=0&ref_=lv_vv_lig_dp_it","4.8","2,765","","5,864"
"/dp/B0011WFOIO/?coliid=I24ISUZD6C2W9J&colid=1SC1VTTG1NF8Y&psc=1&ref_=lv_vv_lig_dp_it","4.4","8","
$84.93
","24"
